Test1,Test2,Test3,StudentMean
87,78,69,78
60,88,75,74.33
66,73,78,72.33
54,71,75,66.67
84,54,62,66.67
50,70,79,66.33
97,44,58,66.33
85,46,60,63.67
88,56,46,63.33
77,55,48,60
58,51,70,59.67
60,63,56,59.67
80,55,39,58
60,44.5,69,57.83
20,67,85,57.33
64,52,55,57
61,44,65,56.67
57,59.5,51,55.83
60,57,48,55
61,51,52,54.67
50,48,63,53.67
48,41,69,52.67
40,49,65,51.33
50,55,47,50.67
48,56,46,50
50,48,49,49
50,51,44,48.33
41,49,51,47
45,50,44,46.33
51,49,38,46
71,13,52,45.33
40,48,46,44.67
30,59,42,43.67
27,64,39,43.33
55,40,33,42.67
50,36,40,42
31,42,52,41.67
39,52,33,41.33
31,49,42,40.67
35,58,22,38.33
20,53,38,37
30,35,35,33.33
40,34,18,30.67
